justiceNameKey,justiceFirstName,justiceLastName
Jay,John,Jay
JRutledge1,John,Rutledge
WCushing,William,Cushing
JWilson,James,Wilson
JBlair,John,Blair
JIredell,James,Iredell
TJohnson,Thomas,Johnson
WPaterson,William,Paterson
JRutledge2,John,Rutledge
SChase,Samuel,Chase
OEllsworth,Oliver,Ellsworth
BWashington,Bushrod,Washington
AMoore,Alfred,Moore
JMarshall,John,Marshall
WJohnson,William,Johnson
HBLivingston,Henry,Livingston
TTodd,Thomas,Todd
GDuvall,Gabriel,Duvall
JStory,Joseph,Story
SThompson,Smith,Thompson
RTrimble,Robert,Trimble
JMcLean,John,McLean
HBaldwin,Henry,Baldwin
JMWayne,James,Wayne
RBTaney,Roger,Taney
PPBarbour,Philip,Barbour
JCatron,John,Catron
JMcKinley,John,McKinley
PVDaniel,Peter,Daniel
SNelson,Samuel,Nelson
LWoodbury,Levi,Woodbury
RCGrier,Robert,Grier
BRCurtis,Benjamin,Curtis
JACampbell,John,Campbell
NClifford,Nathan,Clifford
NHSwayne,Noah,Swayne
SFMiller,Samuel,Miller
DDavis,David,Davis
SJField,Stephen,Field
SPChase,Salmon,Chase
WStrong,William,Strong
JPBradley,Joseph,Bradley
WHunt,Ward,Hunt
MRWaite,Morrison,Waite
JHarlan1,John,Harlan
WBWoods,William,Woods
SMatthews,Stanley,Matthews
HGray,Horace,Gray
SBlatchford,Samuel,Blatchford
LQLamar,Lucius,Lamar
MWFuller,Melville,Fuller
DJBrewer,David,Brewer
HBBrown,Henry,Brown
GShiras,George,Shiras
HEJackson,Howell,Jackson
EDEWhite,Edward,White
RWPeckham,Rufus,Peckham
JMcKenna,Joseph,McKenna
OWHolmes,Oliver,Holmes
WRDay,William,Day
WHMoody,William,Moody
HHLurton,Horace,Lurton
CEHughes1,Charles,Hughes
WVanDevanter,Willis,Van Devanter
JRLamar,Joseph,Lamar
MPitney,Mahlon,Pitney
JCMcReynolds,James,McReynolds
LDBrandeis,Louis,Brandeis
JHClarke,John,Clarke
WHTaft,William,Taft
GSutherland,George,Sutherland
PButler,Pierce,Butler
ETSanford,Edward,Sanford
HFStone,Harlan,Stone
CEHughes2,Charles,Hughes
OJRoberts,Owen,Roberts
BNCardozo,Benjamin,Cardozo
HLBlack,Hugo,Black
SFReed,Stanley,Reed
FFrankfurter,Felix,Frankfurter
WODouglas,William,Douglas
FMurphy,Francis,Murphy
JFByrnes,James,Byrnes
RHJackson,Robert,Jackson
WBRutledge,Wiley,Rutledge
HHBurton,Harold,Burton
FMVinson,Fred,Vinson
TCClark,Tom,Clark
SMinton,Sherman,Minton
EWarren,Earl,Warren
JHarlan2,John,Harlan
WJBrennan,William,Brennan
CEWhittaker,Charles,Whittaker
PStewart,Potter,Stewart
BRWhite,Byron,White
AJGoldberg,Arthur,Goldberg
AFortas,Abe,Fortas
TMarshall,Thurgood,Marshall
WEBurger,Warren,Burger
HABlackmun,Harry,Blackmun
LFPowell,Lewis,Powell
WHRehnquist,William,Rehnquist
JPStevens,John,Stevens
SDOConnor,Sandra,O'Connor
AScalia,Antonin,Scalia
AMKennedy,Anthony,Kennedy
DHSouter,David,Souter
CThomas,Clarence,Thomas
RBGinsburg,Ruth,Ginsburg
SGBreyer,Stephen,Breyer
JGRoberts,John,Roberts
SAAlito,Samuel,Alito
SSotomayor,Sonia,Sotomayor
EKagan,Elena,Kagan
NMGorsuch,Neil,Gorsuch
BMKavanaugh,Brett,Kavanaugh
ACBarrett,Amy,Barrett
KBJackson,Ketanji,Jackson
